# Subgrafo inducido por caminos Q01 y Q06
# Nodos: 214
# Aristas: (edges entre nodos consecutivos de ambos caminos)
1	0
2	7
4990	4952
4988	5023
4922	4920
3865	3866
3861	3701
3609	3702
3752	3748
3644	3638
3642	3643
3724	3698
3697	3696
3666	3570
3554	2941
2938	2935
2930	2692
2690	2650
2645	2646
2628	2622
2669	2614
2612	2603
2602	2579
2576	2584
2945	398111
497114	497052
497113	496957
496927	496913
496928	497051
497015	497012
496932	496929
496863	496861
496858	496843
496824	496757
496260	496259
496202	495544
495540	495455
495425	495370
495349	495348
495326	495325
495329	495332
494569	493022
493016	493021
494453	494908
494577	494542
494198	494194
494192	494189
494037	492939
492930	492927
492928	492935
492950	507730
507731	507622
507534	507530
507527	507529
507532	507547
507591	0
2	7
4990	4952
4988	5023
4922	4920
3865	3866
3861	3701
3609	3702
3752	3748
3644	3638
3642	3643
3724	3698
3697	3696
3666	3570
3554	2941
2938	2935
2930	2692
2690	2650
2645	2646
2628	2622
2669	2614
2612	2603
2602	2579
2576	2584
2945	398111
497114	497052
497113	496957
496927	496913
496928	497051
497015	497012
496932	496929
496863	496861
496858	496843
496824	496757
496260	496259
496202	495544
495540	495455
495425	495370
495349	495348
495326	495325
495329	495332
494569	493022
493016	493021
494453	494908
494577	494542
494198	494194
494192	494189
494037	492939
492930	492927
492928	492935
492950	507730
507731	507622
507534	507530
507527	507529
507532	507547
1	0
2	7
5244	5122
5117	4324
4991	4326
4918	4916
4894	4889
4858	4824
4857	4787
4664	4637
4633	4601
4598	4509
4504	4510
4605	5613
5623	5637
5636	5585
5547	5521
5546	5584
5590	5605
5577	5559
5569	5561
5564	5570
565	102
28	16
11	15
25	516
1057522	1057462
1057363	1057357
1057364	1057463
1058617	1071682
1071701	1071602
1071557	1071526
1071524	1071395
1071278	1071267
1071279	1071361
1071254	1071152
1071837	1071839
1077154	1077150
1077153	1077161
1077419	1077455
1078596	1077195
1077117	1077118
1077197	1078608
1077121	1078616
1085565	1084637
1080766	1077112
1068519	1068516
1068512	1068514
419984	1077108
1077104	419980
408034	408027
408024	408023
408025	408030
419528	0
2	7
5244	5122
5117	4324
4991	4326
4918	4916
4894	4889
4858	4824
4857	4787
4664	4637
4633	4601
4598	4509
4504	4510
4605	5613
5623	5637
5636	5585
5547	5521
5546	5584
5590	5605
5577	5559
5569	5561
5564	5570
565	102
28	16
11	15
25	516
1057522	1057462
1057363	1057357
1057364	1057463
1058617	1071682
1071701	1071602
1071557	1071526
1071524	1071395
1071278	1071267
1071279	1071361
1071254	1071152
1071837	1071839
1077154	1077150
1077153	1077161
1077419	1077455
1078596	1077195
1077117	1077118
1077197	1078608
1077121	1078616
1085565	1084637
1080766	1077112
1068519	1068516
1068512	1068514
419984	1077108
1077104	419980
408034	408027
408024	408023
408025	408030
